item,barcode,cost
itemname,1234,12
Test,4567,12
Algopyrin,3664798058093,1000
Kubu_valami,5998821514064,1790
Actival vitamin,5997207715989,6990
Systane ultra mukonny,8427324890988,3990
Natur Aqua 0.5l,42099321,390
Kalcium,5999882307688,3990
itemnew,12345,1234
rama vaj,8719200115033,799
muffis astri,4000521890001,399
vas vinte forte,5999561572826,1398
OSRAM LED izzó,4052899949683,1499
Calcium 500mg klis plis darom,5999882716985,1999
Maci mez osiraem,5997233710231,990
Univer Majonez 420g,5997010304561,1390
HiGreen kezfertetlenito,6251007614866,790
